ID,Name,Address,Address2,City,State,Zip,Geocodable,Latitude,Longitude,Website,Phone,Email
1,1/2 Lounge,136 1/2 Church St,,Burlington,VT,05401,136 1/2 Church St Burlington VT,44.476526,-73.212309,,(802) 865-0012,
2,12 Franklin Street Bed & Breakfast,12 Franklin St,,Brandon,VT,05733,12 Franklin St Brandon VT,43.797741,-73.08506,http://www.12franklinstreet.com/,(802) 247-6672,relax@12franklinstreet.com
3,1768 Hubbell Homestead,1545 West Rd,,Bennington,VT,05201,1545 West Rd Bennington VT,42.880348,-73.240067,http://www.colgatepark.com/weddings_colgate_park.html,(802) 447-3900,
4,1811 House,3654 Main St,,Manchester,VT,05254,3654 Main St Manchester VT,43.163231,-73.07177,http://www.equinoxresort.com/accommodations/inns/1811House/,,
5,1820 Wright's Bay On Lake Champlain,81 Eagle Mountain Harbor Rd,,Milton,VT,05468,81 Eagle Mountain Harbor Rd Milton VT,44.694803,-73.212088,http://www.thegolfcourses.net/golfcourses/VT/17782.htm,,
6,1824 House Inn,2150 Main St,,Waitsfield,VT,05673,2150 Main St Waitsfield VT,44.213196,-72.794044,http://www.1824house.com/,(802) 496-7555,
7,1868 Crosby House Bed & Breakfast,175 Western Ave,,Brattleboro,VT,05301,175 Western Ave Brattleboro VT,42.85186,-72.57299,http://www.crosbyhouse.com/,(802) 257-7145,lynn@crosbyhouse.com
8,242 Main,242 Main St,,Burlington,VT,05401,242 Main St Burlington VT,44.4762456,-73.2097726,http://www.myspace.com/242main,,
9,2nd Floor,165 Church St,,Burlington,VT,05401,165 Church St Burlington VT,44.4755589,-73.212667,http://www.secondfloorvt.com,(802) 660-2088,MillenniumDJ2K@aol.com
10,802 Music,1 Main St,,Springfield,VT,05156,1 Main St Springfield VT,43.2996709,-72.482445,http://www.myspace.com/802musicspringfield,,dave.802music@gmail.com
11,A Mountainside B&B In Vermont,2577 River Rd,,Arlington,VT,05250,2577 River Rd Arlington VT,43.091217,-73.208221,http://www.amountainsidebbvt.com/,(802) 375-2238,alodge@sover.net
12,A Taste of Dixie,22 Main St,,Winooski,VT,05404,22 Main St Winooski VT,44.490091,-73.1867273,,(802) 655-7977,
13,Adagio Trattoria,132 Main St,,Brattleboro,VT,05301,132 Main St Brattleboro VT,42.8530453,-72.5585815,http://www.adagiotrattoria.com,(802) 254-6046,
14,Adams Landing Bed & Breakfast,1 Adams Landing Rd Ext,,Grand Isle,VT,05458,1 Adams Landing Rd Ext Grand Isle VT,44.7225436,-73.2923538,http://www.adamslandingvt.com/,(802) 372-4830,
15,After Dark Music Series at United Methodist Church,47 N Pleasant St,,Middlebury,VT,05753,47 N Pleasant St Middlebury VT,44.016953,-73.166678,http://www.afterdarkmusicseries.com/,(802) 388-0216,aftdark@sover.net
16,Akes' Place,134 Church St,,Burlington,VT,05401,134 Church St Burlington VT,44.4767,-73.2123019,http://www.akesplace.com,(802) 864-8111,
17,Albany Town Hall,980 Main St,P.O. Box 284,Albany,VT,05820,980 Main St Albany VT,44.7291159,-72.3808726,,(802) 755-6100,albany@pop.state.vt.us
18,Alburg Country Club,230 Route 129,,Alburg,VT,05440,230 Route 129 Alburg VT,44.8874515,-73.2854094,http://www.alburggolflinks.com/,(802) 796-3586,
19,Alburg Dunes State Park,151 Coon Pt Rd,,Alburg,VT,05440,151 Coon Pt Rd Alburg VT,44.866483,-73.303155,http://www.vtstateparks.com/htm/alburg.htm,(802) 796-4170,
20,Alexandra Bed & Breakfast,916 Orchard Rd,,Bennington,VT,05201,916 Orchard Rd Bennington VT,42.904736,-73.211212,http://www.alexandrainn.com/,(802) 442-5619,alexandr@sover.net
