Business,WWW,Address,Address2,City,State,Zip,Phone,Email
1/2 Lounge,,136 1/2 Church Street,,Burlington,VT,05401,(802) 865 - 0012,
12 Franklin Street Bed & Breakfast,http://www.12franklinstreet.com/,12 Franklin St,,Brandon,VT,05733,(802) 247-6672,relax@12franklinstreet.com
135 Pearl,,135 Pearl?,,Burlington,VT,05401,(802) 863-2343,
1768 Hubbell Homestead,http://www.colgatepark.com/weddings_colgate_park.html,1545 West Road,,Bennington,VT,05201,(802) 447-3900,
1811 House,http://www.equinoxresort.com/accommodations/inns/1811House/,3654 Main street,,Manchester,VT,05254,,
1820 Wright's Bay On Lake Champlain,http://www.thegolfcourses.net/golfcourses/VT/17782.htm,81 Eagle Mountain Harbor Rd,,Milton,VT,05468,,
1820 Wright's Bay On Lake Champlain,http://www.thegolfcourses.net/golfcourses/VT/17782.htm,81 Eagle Mountain Harbor Rd,,Milton,VT,05468,,
1824 House Inn,http://www.1824house.com/,2150 Main St,,Waitsfield,VT,05673,(802) 496-7555,
1868 Crosby House Bed & Breakfast,http://www.crosbyhouse.com/,175 Western Ave,,Brattleboro,VT,05301,(802) 257-7145,lynn@crosbyhouse.com
242 Main,http://www.myspace.com/242main,242 Main St.,,Burlington,VT,05401,,
,,250 Main Street,,Burlington,VT,05401,(802) 862-2244,booking242main@hotmail.com
2nd Floor,http://www.secondfloorvt.com,165 Church Street,,Burlington,VT,05401,(802) 660-2088,MillenniumDJ2K@aol.com
802 Music,http://www.myspace.com/802musicspringfield or www.myspace.com/802musicbooking,1 Main Street,,Springfield,VT,05156,,dave.802music@gmail.com
A Mountainside B&B In Vermont,http://www.amountainsidebbvt.com/,2577 River Rd,,Arlington,VT,05250,(802) 375-2238,alodge@sover.net
A Taste of Dixie,,22 Main Street,,Winooski,VT,05404,(802) 655-7977,
Adagio Trattoria,http://www.adagiotrattoria.com,132 Main St,,Brattleboro,VT,05301,(802) 254-6046,
Adams Landing Bed & Breakfast,http://www.adamslandingvt.com/,1 Adams Landing Rd Ext,,Grand Isle,VT,05458,(802) 372-4830,
After Dark Music Series at United Methodist Church,www.afterdarkmusicseries.com/,Route 7/ Seminary Street,,Middlebury,VT,05753,(802) 388 - 0216,aftdark@sover.net
Akes' Place,http://www.akesplace.com,134 Church Street,,Burlington,VT,05401,(802) 864.8111,
Albany Town Hall,,980 Main Street,P.O. Box 284,Albany,VT,05820,(802) 755-6100,albany@pop.state.vt.us
Alburg Country Club,http://www.alburggolflinks.com/,230 Route 129,,Alburg,VT,05440,(802) 796-3586,
Alburg Dunes State Park,http://www.vtstateparks.com/htm/alburg.htm,151 Coon Pt Rd,,Alburg,VT,05440,(802) 796-4170,
The Alerin Barn,http://www.thealerinbarn.com/,1838 Spaulding Road,,St. Johnsbury,VT,05819,(802) 748-3417,
Alexandra Bed & Breakfast,http://www.alexandrainn.com/,916 Orchard Road,,Bennington,VT,05201,(802) 442-5619,alexandr@sover.net
All Souls Interfaith Gathering,http://www.allsoulsinterfaith.org,291 Bostwick Road,,Shelburne,VT,05482,(802)  985-3819,
Alldays & Onions,http://www.facebook.com/pages/Alldays-Onions/125886117465906,519 Main St,,Bennington,VT,05201,(802) 447-0043,aorestaurant@aol.com
American Flatbread-Lawson Lane Stage,http://americanflatbread.com/,115 St. Paul St,,Burlington,VT,05401,(802) 861 2199,
American Legion Post 5,http://www.eventective.com/USA/Vermont/Brattleboro/236335/American-Legion-Post-5.html,32 Linden St,,Brattleboro,VT,05301,,
The Andrie Rose Inn,,13 Pleasant Street,,Ludlow,VT,05149,(802) 228-4846,
Angela's Pub,http://www.myspace.com/angelaspub,86 Main St.,,Middlebury,VT,05753,(802) 388-6936,
Arkell Pavilion,http://www.svac.org/arkell_pavilion.html,P.O. Box 617 West Road,,Manchester,VT,05254,(802) 362-1405,info@svac.org
The Arlington Inn,http://www.arlingtoninn.com/,3904 Vt Route 7A,,Arlington,VT,05250,(800) 375-6532,
Arrowhead Golf Course,http://www.thegolfcourses.net/golfcourses/VT/17782.htm,350 Murray Ave,,Milton,VT,05468,,
The Artist's Loft Bed & Breakfast,http://www.theartistsloft.com/,103 Main St,,Brattleboro,VT,05301,(802) 257-5181,
Arvad's Waitsfield,http://www.arvads.com,4740 Main St,,Waitsfield,VT,05676,(802) 244-8973,
